nAcid,VR2_A,AATS4dv,AATS4d,AATS5d,AATS4s,AATS5s,AATS4v,AATS2p,AATS3p,AATS4p,AATS1i,AATS2i,AATS3i,AATS4i,AATS5i,ATSC1dv,ATSC7dv,ATSC1d,ATSC4d,ATSC5d,ATSC6d,ATSC1s,ATSC3s,ATSC4s,ATSC5v,ATSC8v,ATSC2p,ATSC5p,ATSC5i,AATSC2c,AATSC4c,AATSC5c,AATSC3dv,AATSC4dv,AATSC2d,AATSC1s,AATSC2s,AATSC0v,AATSC3p,AATSC5p,MATS1c,MATS4c,MATS5c,MATS1dv,MATS3dv,MATS4dv,MATS5dv,MATS2d,MATS3s,MATS4v,GATS2c,GATS5c,GATS1dv,GATS2dv,GATS5dv,GATS1d,GATS4d,GATS5d,GATS1s,GATS3s,GATS1i,GATS5i,BCUTc-1h,BCUTs-1l,PNSA2,FPSA3,WNSA3,RNCG,RPCG,RNCS,RPCS,C3SP2,C1SP3,C3SP3,C4SP3,Xch-6d,Xch-7d,Xch-6dv,Xch-7dv,Xc-5dv,AXp-0dv,NsssCH,NaasC,NssssC,SsssCH,SdssC,SaasC,SssssC,AETA_alpha,ETA_shape_y,AETA_beta_ns_d,AETA_eta,ETA_dAlpha_A,ETA_epsilon_5,ETA_dEpsilon_D,ETA_dBeta,nHBDon,MIC0,Lipinski,GhoseFilter,Mor03m,Mor04m,Mor05m,Mor06m,Mor08m,Mor10m,Mor13m,Mor15m,Mor17m,Mor18m,Mor20m,Mor21m,Mor23m,Mor24m,Mor29m,Mor08v,Mor13p,Mor16p,Mor20p,PEOE_VSA4,PEOE_VSA5,PEOE_VSA7,SMR_VSA4,SlogP_VSA4,SlogP_VSA8,EState_VSA3,EState_VSA4,EState_VSA8,EState_VSA9,VSA_EState4,VSA_EState5,VSA_EState9,AMID_O,PBF,nFRing,n10FRing,nG12FRing,nFaRing,nFARing,nG12FARing,RotRatio,GGI4,GGI5,JGI2,JGI3,JGI5,JGI6,JGI7,JGI8,JGI9,JGI10,mZagreb2
0,2.043534822,0.086419753,1.333333333,1,3.576817558,1.115226337,142.4133202,1.141777855,1.19133317,1.201402834,149.8456484,169.943712,166.6754638,163.0205525,182.0582938,18.96928885,0,0.958677686,0.099173554,1.190082645,0,-0.672092543,-16.26956118,-13.50542714,109.0178686,0,0.401507092,-0.269239691,2.994475811,-0.002141549,-0.002943611,-6.30E-05,-4.926027956,-2.230169257,-0.146177686,-0.067209254,0.37159074,49.35547755,-0.064922138,-0.029915521,-0.536150204,-0.073897269,-0.001582375,0.359484125,-0.933524112,-0.422636005,0.524291994,-0.35375,-0.492431561,-0.557385779,1.307567789,0.125812562,0.426340926,1.036873042,0.017369839,1.1,0.366666667,0,0.569128649,2.03196134,2.033176856,0.057469453,0.447620368,1.282497488,-101.3586705,0.043198808,-6.321982631,0.561848092,0.384187184,31.93298936,20.35295755,0,1,0,0,0,0,0,0,0,0.69291613,0,0,0,0,-0.391975309,0,0,0.48015873,0.173553719,0,0.503283702,0,1.06984127,0,-2,0,24.96544414,1,0,-1.312233508,-0.311248466,-0.766256088,0.695365753,-0.029799474,0.063618494,-0.006230123,0.047161405,-0.176870858,-0.020485153,0.197561225,-0.114189701,0.122852301,-0.022222032,0.07062867,0.01150528,0.101850732,-0.015028914,0.206017472,0,11.60093989,0,0,0,0,0,0,4.736862954,11.60093989,0,-0.451003086,1.296342593,0.584805271,0.327222863,0,0,0,0,0,0,0.2,0,0,0.133333333,0.03125,0,0,0,0,0,0,1.666666667
0,1.725974836,0,1,1,3.666666667,1,103.8289545,0.857712395,0.970680077,0.920618869,150.5559628,171.4599178,168.2373625,163.8097907,184.917652,22.59504132,0,0.561983471,0.669421488,0.669421488,0,-2.179522498,-18.71717172,-15.08884298,297.8696347,0,0.342409293,0.800228648,3.618864617,0.004547293,-0.003946752,0.002334374,-5.165289256,-1.685950413,-0.147210744,-0.21795225,0.62696568,43.47398852,0.003914324,0.088914294,-0.620965158,-0.1085806,0.064221867,0.410510511,-0.938438438,-0.306306306,0.486486486,-0.387228261,-0.561090083,-0.965336093,1.178166401,0.012903328,0.396396396,1.109703453,0,1.195652174,0,0,0.602043906,2.085919758,2.065310227,0,0.422852538,1.621189249,-42.58993743,0.047416158,-4.343900694,0.649998524,0.418160709,28.60197162,18.69937871,0,1,0,0,0,0,0,0,0,0.663299316,0,0,0,0,-0.24537037,0,0,0.433333333,0.230769231,0,0.427323407,0,1.006666667,0,-1.25,0,13.77531163,1,0,-0.496524455,-0.306194906,-0.763577212,-0.04796148,-0.165838301,0.045784059,-0.014878663,0.161148882,-0.088785127,0.073309719,0.111058384,-0.028493676,0.102615688,-0.005454731,0.031085377,0.081609859,0.082392881,-0.067603609,0.183851144,0,0,0,0,0,0,0,0,4.736862954,0,0,-0.24537037,1.349537037,0.689981212,0.327259655,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,1.333333333
0,2.948299016,0.988888889,1.75,1.444444444,2.151028807,1.750342936,150.8101408,2.110607971,1.892388723,1.331418661,147.9366553,146.7646876,156.9616524,168.3637961,175.387735,3.603174603,0,1.428571429,-1.37755102,1.147959184,0.826530612,-3.360964139,-2.828700204,-0.727035762,-36.49025437,0,0.261828727,-0.968667393,2.449125045,0.002614725,0.000994146,0.004953422,-0.725986395,-0.120836483,-0.192176871,-0.240068867,0.072841269,53.00079285,-0.024072811,-0.10762971,-0.627236004,0.056630598,0.282167004,0.093441273,-0.263578485,-0.043871204,0.264778225,-0.291989664,-0.193731706,-0.034262338,0.51300314,0.797487016,0.852039883,1.193133309,0.725822763,0.957364341,0.881782946,0.62704565,1.538507115,1.175244616,0.815546743,0.533105238,0.363088329,1.28465459,-125.2271393,0.036570679,-6.008089433,0.603606869,0.236511048,32.96035086,91.98369633,0,0,0,0,0.068041382,0.204124145,0.024056261,0.068443361,0.107142857,0.675243102,0,3,0,0,0,1.659197531,0,0.536507937,0.310650888,0.166666667,0.466161443,0.036507937,0.788311688,0.108513709,2.25,1,24.85481514,1,0,-1.407105377,-0.44900626,-1.994539805,1.673532138,-0.898176106,-0.595644622,0.067967952,0.644241152,0.441428483,-0.606131185,0.763305484,-0.248313118,-0.150014928,-0.116461311,-0.041672084,-0.396847352,-0.115553233,0.049489373,0.667859687,0,0,18.19910121,0,0,0,15.7326529,0,0,28.93554726,6.013487654,0,0,0,4.63E-05,0,0,0,0,0,0,0,0.413333333,0,0.111111111,0.05625,0,0,0,0,0,0,2.027777778
0,1.797343098,0.666666667,1.333333333,1,4.222222222,4,109.7634131,0.89104307,0.838632451,0.861364336,150.5559628,169.475589,171.7545764,167.3374863,185.0509644,12.95867769,0,0.289256198,-0.148760331,0.446280992,0,0.25,-0.5,-8,40.92061498,0,-0.092372595,0.412535667,2.449875422,-0.000472067,0.001333253,-0.001355408,-0.69244392,-1.928374656,-0.03357438,0.025,0.21875,43.47398852,0.030767896,0.068755945,-0.532738039,0.035355731,-0.035943237,0.252090032,-0.134703721,-0.375133976,-0.434083601,-0.169270833,-0.011727079,-0.394415058,1.088790616,0.579263504,0.486334405,1.016881029,1.591639871,1.145833333,0.763888889,0,0.537313433,0.546375267,2.065310227,8.02E-05,0.514466432,1.472133125,-60.33346242,0.064033454,-4.687313868,0.620224001,0.387565064,29.26537176,57.9666633,0,2,0,0,0,0,0,0,0,0.620190726,0,0,0,0,0,0,0,0.433333333,0,0,0.40983166,0,1.006666667,0,-1.25,0,13.77531163,1,0,-0.148384395,-0.41779846,-0.784013493,0.034929289,-0.128651999,0.013224528,0.004408134,0.144237883,-0.095423375,0.091021005,0.066358934,-0.018354623,0.069305949,0.009849982,0.020634216,0.111509536,0.105566378,-0.05884863,0.124021564,0,0,6.9237372,0,0,0,13.07910283,0,4.736862954,0,0,0,0,0.706954365,0.322847954,0,0,0,0,0,0,0.5,0,0,0.074074074,0.0625,0,0,0,0,0,0,1.5
0,1.797343098,1.666666667,1.133333333,1,4.733333333,2.666666667,68.17256584,1.003796688,0.701432194,0.57108452,154.1149341,163.0098276,174.3821198,180.7849803,185.0065269,-7.976331361,0,-0.130177515,0.337278107,0.319526627,0.053254438,-8.109467456,-6.295857988,9.315088757,53.24247955,0,-1.197442291,0.313734921,1.748388076,-0.002585429,0.008377326,-0.019840426,-0.010848126,0.391715976,-0.058284024,-0.675788955,-0.591494083,41.09411913,-0.0179378,0.052289153,-0.496715761,0.258578851,-0.612404751,-0.204242424,-0.003333333,0.120363636,-0.164848485,-0.328333333,-0.084044234,0.042191447,0.850974136,1.969794826,1.087272727,1.120363636,1.181818182,1.733333333,0.346666667,0,1.133649289,0.874881517,1.734753579,6.07E-05,0.276876615,1.357783046,-53.68928764,0.066901023,-5.950867226,0.49592278,0.262847425,69.48202654,89.89833443,0,2,0,0,0,0,0,0,0,0.603149507,0,0,0,0,0,0,0,0.433333333,0,0,0.560261643,0,0.804761905,0.201904762,-2.5,2,12.94492358,1,0,-0.193272874,-0.506584211,-0.634857541,0.36250563,-0.318791908,0.255358644,-0.240070985,0.247303856,-0.117950737,-0.083934863,0.093056468,-0.09321753,0.066888548,-0.026615015,-0.034734037,0.036397668,-0.005370588,-0.077369404,0.075071836,0,0,6.420821623,0,0,0,6.420821623,0,0,10.21305479,0,0,0,0.672487373,0.472083607,0,0,0,0,0,0,0.5,0,0,0.074074074,0.0625,0,0,0,0,0,0,1.5
0,2.043534822,1.19047619,1.095238095,1,4.619047619,2.25,67.27669043,1.034820216,0.743835798,0.552122169,156.5218666,162.5727279,173.2568199,182.0165293,184.9843082,-12.04081633,0,0.489795918,1.142857143,0.653061224,0.081632653,-16.52777778,16.30555556,-5.916666667,119.5489113,0,-1.169083634,0.410110275,1.994196236,-0.007450957,-0.006960805,-0.003388743,0.289493575,-0.380952381,-0.170068027,-1.271367521,-1.082010582,39.3664808,-0.034388088,0.051263784,-0.519206004,-0.15424614,-0.075091971,-0.225794106,0.070573061,-0.092868988,0.123134328,-0.490196078,0.149494288,0.021278372,0.976430156,1.054838077,1.07960199,1.142620232,0.707400498,1.647058824,0.12745098,0,1.223968566,0.818234738,1.69983729,4.83E-05,0.343855329,1.250261397,-108.8773312,0.067249166,-8.82387649,0.334825843,0.179227403,102.8497674,113.6679818,0,2,0,0,0,0,0,0,0,0.555534103,1,0,0,-0.953703704,0,0,0,0.416666667,0.2,0,0.590371645,0,0.822222222,0.261111111,-3.25,3,13.80415323,1,0,-1.032099581,-0.118987832,-1.109005212,0.642039413,-0.457117186,0.351583923,-0.31747083,0.422264758,-0.080765046,-0.132342295,0.194906775,-0.209885815,0.035413526,0.035447199,-0.027907973,-0.11396124,-0.115236704,-0.106367061,0.081281164,0,0,0,0,0,0,0,0,0,15.31958218,0,0,0,0.842446185,0.638758712,0,0,0,0,0,0,0.4,0,0,0.133333333,0.03125,0,0,0,0,0,0,1.666666667
0,1.472998201,0,1,1,2,1,83.36678939,0.875876653,1.022426558,0.862695033,150.2462555,170.7625417,164.3876005,165.0457118,184.917652,5.76,0,0.36,0.32,0.24,0,-0.8975,-1.9975,-1.82,175.9183187,0,0.322208045,0.593396589,2.935652089,-0.007418452,0.002061653,0.003808002,-1.671111111,0.24,-0.083076923,-0.099722222,-0.140961538,46.56323026,-0.009052162,0.098899431,-0.242446397,0.068457685,0.12644562,0.179775281,-0.469413233,0.06741573,0.404494382,-0.519230769,-0.276566286,-0.460838039,1.808506416,0.001447147,0.77247191,1.808556612,0,0.9375,0,0,1.090342679,1.090342679,1.908152501,0,0.344098778,1.950597922,-31.26878136,0.051889747,-2.776114462,0.887137968,0.18092257,24.24046328,92.64693132,0,0,0,0,0,0,0,0,0,0.673176335,0,0,0,0,0,0,0,0.458333333,0,0,0.341238906,0,0.891666667,0,-1,0,12.01927768,1,0,0.136253992,-0.59674579,-0.432685434,-0.01783561,-0.084293225,0.022739677,-0.133208173,0.120747488,-0.021488498,-0.116232249,0.140165358,0.085023359,-0.039434895,-0.006074063,0.034966185,0.144261622,0.018599792,0.003548567,0.192197198,0,0,0,0,0,0,0,0,11.31579864,0,0,0,1.5625,0.445082521,0.222289359,0,0,0,0,0,0,0.333333333,0,0,0.111111111,0,0,0,0,0,0,0,1.25
0,1.725974836,0,1,1,2.086419753,1,96.42952281,1.702457639,1.437272798,1.031327566,143.5572457,152.8498426,161.4400446,166.8755812,184.917652,1.812839506,0,0.11,0.72,0.36,0,-2.9450221,1.383825636,-2.333680841,236.4890586,0,0.388500456,1.221482513,3.986719042,0.001006447,-0.002700608,0.002978042,-0.614485597,-0.01962963,-0.21,-0.327224678,-0.043800742,59.4019482,-0.132573988,0.305370628,-0.641584939,-0.630628549,0.695413248,0.102074297,-0.311394728,-0.009947447,0.702952953,-0.512195122,0.193842162,-0.52184851,0.603485838,0.000236967,1.048548549,1.547484985,0,1.341463415,0,0,1.680245234,0.629347383,1.229778223,0,0.302174696,1.30778825,-43.83822704,0.022753457,-2.774642371,0.3105797,0.201065392,102.1516424,87.18612087,0,0,0,0,0,0,0,0,0,0.72509145,0,0,0,0,0.490740741,0,0,0.542857143,0.184210526,0,0.45124587,0.042857143,0.837142857,0,-0.25,0,18.63230301,1,0,-0.873779579,-0.241027924,-0.753605394,0.676746778,-0.140088629,-0.184496634,0.141107143,0.014468485,0.058811186,-0.178414716,0.222450283,-0.026686602,-0.041047357,0.019086618,-0.062997348,0.099883253,0.071073762,0.040559248,0.268897174,0,0,0,0,0,0,5.032286352,0,13.15787137,11.60093989,0,0,0,0,4.98E-05,0,0,0,0,0,0,0.25,0,0,0.111111111,0,0,0,0,0,0,0,1.333333333
0,2.948299016,0.763374486,1.75,1,1.753099121,1.385510339,230.4913943,2.514348103,2.281095892,2.106156733,138.182666,141.9787693,153.9842937,162.9884371,176.4722191,0.666666667,0,-0.5,0,1.6875,0,-0.228395062,-0.243931946,-0.117360159,103.5295764,0,-0.091219929,0.618058821,3.168078472,0.000238807,-0.001292273,0.001959013,-0.38521458,0.007201646,-0.215277778,-0.019032922,-0.033039298,46.37371191,-0.056690842,0.206019607,-0.466564102,-0.336020311,0.50938786,0.021201413,-0.147007684,0.002748331,0.94267766,-0.313131313,-0.08424048,-0.255831432,0.725187295,0.853404072,0.905869651,1.229420233,0.035270253,1.055555556,0.833333333,0,1.039712147,0.994882255,0.895412095,0.056678858,0.36284415,1.283848191,-84.75699679,0.014208092,-5.520359163,0.23716045,0.18422519,293.8380956,84.56447928,0,0,0,0,0.068041382,0.204124145,0.024056261,0.081831709,0.107142857,0.737081229,0,3,0,0,0,1.620030864,0,0.571428571,0.291666667,0.166666667,0.4970792,0.071428571,0.928571429,0,2.25,0,24.236,1,0,-2.209507776,-0.374835361,-2.260516667,2.859839017,-0.765734798,-1.236804032,0.422938123,0.178676873,0.322729474,-0.594139731,0.854998835,-0.310649491,-0.185756246,-0.16917866,-0.184623559,-0.325502748,0.053702262,0.001981195,0.637582835,0,0,18.19910121,0,0,0,15.06789994,0,0,34.80281967,0,0,0,0,1.42E-05,0,0,0,0,0,0,0,0.413333333,0,0.111111111,0.05625,0,0,0,0,0,0,2.027777778
0,1.472998201,0,1,1,2,1,49.71122125,0.960816406,0.663496252,0.54089937,168.8332474,171.2517869,182.5384095,189.1588115,184.917652,-4.694444444,0,-0.027777778,0.333333333,0.111111111,0,-5.840277778,4.479166667,-2.916666667,69.59729443,0,-1.123130386,0.229253909,0.218551887,-0.001439423,-0.009533053,0.014026397,0.091269841,-0.138888889,-0.064814815,-0.530934343,-0.238425926,36.86617327,-0.00912827,0.057313477,-0.614890425,-0.407667648,0.599819211,-0.289879931,0.061994609,-0.094339623,0.471698113,-0.466666667,0.177539224,0.093929712,0.912091992,0,1.528301887,1.210691824,0,1.8,0,0,1.716763006,0.672171759,1.945494104,0,0.230617811,1.395436639,-27.32599361,0.060622299,-2.95305902,0.5,0.179871302,41.67273491,134.5295584,0,2,0,0,0,0,0,0,0,0.642228525,0,0,0,0,0,0,0,0.45,0,0,0.490854606,0,0.6,0.3,-2,2,11.60235386,1,0,-0.363125158,-0.289504868,-0.465372944,0.286568867,-0.202751715,0.140445519,-0.19730271,0.146214084,-0.060738475,-0.102923034,0.012470802,-0.088614116,0.014364272,0.046420133,-0.032740074,0.063631597,-0.058719792,-0.10245208,0.14350863,0,0,0,11.46733495,0,0,13.08951281,0,0,11.46733495,9.805555556,0,0,0,0.413785668,0,0,0,0,0,0,0.333333333,0,0,0.111111111,0,0,0,0,0,0,0,1.25
